label,hidden_size,params,seed,test_mae_raw,test_rmse_raw,test_r2_raw,test_delta_r2_raw
classical,2,42,0,0.273509,0.302724,-0.049957,-3.215076
classical,2,42,1,0.248588,0.273665,0.141939,-2.444704
classical,2,42,2,0.232741,0.256559,0.245855,-2.027530
classical,2,42,3,0.255185,0.282156,0.087870,-2.661766
classical,2,42,4,0.214665,0.237039,0.356249,-1.584351
classical,4,90,0,0.271371,0.299919,-0.030591,-3.137328
classical,4,90,1,0.252445,0.281857,0.089801,-2.654012
classical,4,90,2,0.253668,0.279194,0.106918,-2.585297
classical,4,90,3,0.238885,0.263519,0.204385,-2.194015
classical,4,90,4,0.280821,0.310358,-0.103580,-3.430345
classical,8,210,0,0.238547,0.265454,0.192656,-2.241098
classical,8,210,1,0.253636,0.279642,0.104053,-2.596798
classical,8,210,2,0.267622,0.296200,-0.005191,-3.035362
classical,8,210,3,0.281671,0.312279,-0.117285,-3.485366
classical,8,210,4,0.248902,0.277847,0.115516,-2.550780
classical,16,546,0,0.264199,0.292623,0.018940,-2.938488
classical,16,546,1,0.232500,0.256315,0.247294,-2.021756
classical,16,546,2,0.258461,0.284848,0.070383,-2.731967
classical,16,546,3,0.241678,0.266245,0.187843,-2.260423
classical,16,546,4,0.285015,0.314902,-0.136132,-3.561028
classical,32,1602,0,0.254371,0.282186,0.087675,-2.662548
classical,32,1602,1,0.266616,0.295871,-0.002959,-3.026402
classical,32,1602,2,0.263574,0.293073,0.015918,-2.950618
classical,32,1602,3,0.205329,0.233267,0.376572,-1.502764
classical,32,1602,4,0.255469,0.283871,0.076745,-2.706425
qlnn,-1,-1,-1,0.265526,0.293430,0.013297,-2.961140
