run,axis,level,is_reference,ansatz_name,num_qubits,num_layers,n_seeds,test_mae_raw_mean,test_mae_raw_std,test_rmse_raw_mean,test_r2_raw_mean,test_delta_r2_raw_mean,val_mse_norm_mean
reference,reference,data_reuploading_4q3L_ring_rx,True,data_reuploading,4,3,5,0.2655255354088796,0.0043674656914080906,0.29343016833043406,0.013297063567143042,-2.9611403617826566,0.08734534086766088
ansatz_brickwall,ansatz_family,brickwall,False,brickwall,4,3,1,0.2688648497890418,nan,0.2976516071359287,-0.015068029775020308,-3.0750126448728183,0.08237027723158338
depth_1,depth,L1,False,data_reuploading,4,1,1,0.2647745835948997,nan,0.2928977107107193,0.0170970456052274,-2.9458852513848686,0.08651402525413887
depth_2,depth,L2,False,data_reuploading,4,2,1,0.2664024168336895,nan,0.2944907951229261,0.006375857445194644,-2.9889256940337,0.08732477332051253
depth_5,depth,L5,False,data_reuploading,4,5,1,0.24659486693395694,nan,0.2770725386354257,0.12043962910899131,-2.5310142061161094,0.08485908121966733
encoding_ry,encoding,ry,False,data_reuploading,4,3,1,0.26990547680518995,nan,0.2983129358714614,-0.01958364056181594,-3.0931406624201685,0.08838912216035803
entanglement_all_to_all,entanglement,all_to_all,False,data_reuploading,4,3,1,0.26810718868819766,nan,0.2961979466507988,-0.005177533001281098,-3.035307030830384,0.08424461269806584
entanglement_linear,entanglement,linear,False,data_reuploading,4,3,1,0.26628945659583714,nan,0.294128810279311,0.008817059889394518,-2.97912543381763,0.08352627698174911
top1_data_reuploading_Q4_L5,promoted,top1_data_reuploading_Q4_L5,False,data_reuploading,4,5,5,0.2637739776154639,0.01250330957280862,0.29186320444763,0.022733169381721673,-2.9232589101115916,0.08434694636151957
top2_hardware_efficient_Q4_L3,promoted,top2_hardware_efficient_Q4_L3,False,hardware_efficient,4,3,5,0.26606447852497367,0.008461076511185418,0.2941020954237622,0.008187044313259673,-2.981654645027036,0.08549524032927053
top3_strongly_entangling_Q6_L3,promoted,top3_strongly_entangling_Q6_L3,False,strongly_entangling,6,3,5,0.25551243996955975,0.025290364894395862,0.28286106367601055,0.07670346232440259,-2.706593997280419,0.08272906028598088
qubits_2,qubits,Q2,False,data_reuploading,2,3,1,0.2719443012291276,nan,0.300451364966363,-0.034253617795223956,-3.1520336045408888,0.08713445685401236
qubits_6,qubits,Q6,False,data_reuploading,6,3,1,0.2917676006572347,nan,0.3180029920745011,-0.15862020677039146,-3.6513059762516145,0.07874031277477637
trial_0000,unknown,trial_0000,False,unknown,-1,-1,1,0.26380878364536114,nan,0.2916151707228779,0.025686067052716144,-2.911404438297535,0.0860977613031972
trial_0001,unknown,trial_0001,False,unknown,-1,-1,1,0.2640632023945661,nan,0.29196765364165794,0.023329285861389937,-2.9208657875609747,0.08523486498897438
trial_0002,unknown,trial_0002,False,unknown,-1,-1,1,0.26391071249061904,nan,0.2918038077327393,0.024425151091798547,-2.9164664127998745,0.0849907711200153
trial_0003,unknown,trial_0003,False,unknown,-1,-1,1,0.26394529789266447,nan,0.29180753645042395,0.024400218816505115,-2.9165665039603743,0.08522010551374475
trial_0004,unknown,trial_0004,False,unknown,-1,-1,1,0.2881389050416543,nan,0.3159829399949609,-0.14394714069081394,-3.5924006338908816,0.08380103336434885
trial_0005,unknown,trial_0005,False,unknown,-1,-1,1,0.26220971147779004,nan,0.28976229094314254,0.03802802662001192,-2.861857373643763,0.08436729968108606
trial_0006,unknown,trial_0006,False,unknown,-1,-1,1,0.268687583560675,nan,0.29702642344555347,-0.010808435641915581,-3.0579124117403893,0.08860446178669247
trial_0007,unknown,trial_0007,False,unknown,-1,-1,1,0.26628945659583714,nan,0.294128810279311,0.008817059889394518,-2.97912543381763,0.08352627698174911
trial_0008,unknown,trial_0008,False,unknown,-1,-1,1,0.2652325727906025,nan,0.2934141576859707,0.013627815474767213,-2.959812551068154,0.08614342198950248
trial_0009,unknown,trial_0009,False,unknown,-1,-1,1,0.26231652041556125,nan,0.2899190525686432,0.036986889891837293,-2.86603703964437,0.0851566395959765
trial_0010,unknown,trial_0010,False,unknown,-1,-1,1,0.26990547680518995,nan,0.2983129358714614,-0.01958364056181594,-3.0931406624201685,0.08838912216035803
trial_0011,unknown,trial_0011,False,unknown,-1,-1,1,0.26406657292809277,nan,0.2919707685630845,0.02330844609558247,-2.920949449253285,0.0852389000025406
trial_0012,unknown,trial_0012,False,unknown,-1,-1,1,0.2881389050416543,nan,0.3159829399949609,-0.14394714069081394,-3.5924006338908816,0.08380103336434885
trial_0013,unknown,trial_0013,False,unknown,-1,-1,1,0.2647745835948997,nan,0.2928977107107193,0.0170970456052274,-2.9458852513848686,0.08651402525413887
trial_0014,unknown,trial_0014,False,unknown,-1,-1,1,0.2629164234349425,nan,0.2904632791849902,0.03336802268714967,-2.8805650606110893,0.08509687886777403
trial_0015,unknown,trial_0015,False,unknown,-1,-1,1,0.26124560443448347,nan,0.288632445864555,0.045515269415019155,-2.8317996748788348,0.08484919733449035
trial_0016,unknown,trial_0016,False,unknown,-1,-1,1,0.2628822169505374,nan,0.29083514829898277,0.03089135383015995,-2.890507701511357,0.0860970813016329
trial_0017,unknown,trial_0017,False,unknown,-1,-1,1,0.26447562368822763,nan,0.29224984492721856,0.021440438582258747,-2.928448605974041,0.08586438590800252
trial_0018,unknown,trial_0018,False,unknown,-1,-1,1,0.2719735023337351,nan,0.3011681781269299,-0.0391945237973188,-3.171868978964145,0.08568669727111325
trial_0019,unknown,trial_0019,False,unknown,-1,-1,1,0.2688648497890418,nan,0.2976516071359287,-0.015068029775020308,-3.0750126448728183,0.08237027723158338
trial_0020,unknown,trial_0020,False,unknown,-1,-1,1,0.2688648497890418,nan,0.2976516071359287,-0.015068029775020308,-3.0750126448728183,0.08237027723158338
trial_0022,unknown,trial_0022,False,unknown,-1,-1,1,0.2688648497890418,nan,0.2976516071359287,-0.015068029775020308,-3.0750126448728183,0.08237027723158338
variational_strongly_entangling,variational,rot_strongly_entangling,False,strongly_entangling,4,3,1,0.2622858922582277,nan,0.2900926540452781,0.03583325373235502,-2.870668337054569,0.08598464219179609
variational_hardware_efficient_ry_rz,variational,ry_rz_hardware_efficient,False,hardware_efficient,4,3,1,0.26104933426413734,nan,0.28843861603373744,0.04679679888946586,-2.826654946978868,0.08574549887512437
