model,seed,n,d_norm
classical_H4,0,100,8.572565102939372
qlnn_h3,0,100,7.878757811659178
classical_H4,0,200,7.186211159494487
qlnn_h3,0,200,6.64635809370806
classical_H4,0,350,6.712284389655889
qlnn_h3,0,350,6.185684553775168
classical_H4,0,472,6.546086498463882
qlnn_h3,0,472,6.0374773679734774
classical_H4,1,100,12.88538347535077
qlnn_h3,1,100,5.357939063813742
classical_H4,1,200,10.77211689476384
qlnn_h3,1,200,4.23081607392448
classical_H4,1,350,10.133857533886527
qlnn_h3,1,350,3.8291227962638494
classical_H4,1,472,9.870176631378591
qlnn_h3,1,472,3.675954124214354
classical_H4,2,100,10.120881168695721
qlnn_h3,2,100,18.65885638844039
classical_H4,2,200,8.49523170764796
qlnn_h3,2,200,15.960842261364757
classical_H4,2,350,7.917274415670108
qlnn_h3,2,350,15.122297286797552
classical_H4,2,472,7.699511236345984
qlnn_h3,2,472,14.781126227659733
classical_H4,3,100,9.493189223473117
qlnn_h3,3,100,16.516047186702913
classical_H4,3,200,7.977329743232087
qlnn_h3,3,200,14.348888676449898
classical_H4,3,350,7.47361765302474
qlnn_h3,3,350,13.629838602838129
classical_H4,3,472,7.298343061530794
qlnn_h3,3,472,13.49923827465528
classical_H4,4,100,11.452367878445664
qlnn_h3,4,100,12.203401604459271
classical_H4,4,200,9.580992523016617
qlnn_h3,4,200,10.3514910826364
classical_H4,4,350,8.95997852261662
qlnn_h3,4,350,9.815545611123522
classical_H4,4,472,8.730978925839265
qlnn_h3,4,472,9.578178294521257
